"streetname","number","district_name"
"Hauptstraße","34","Althen-Kleinpösna"
"Plautstraße","13","Connewitz"
"Plautstraße","17","Connewitz"
"Plautstraße","19","Connewitz"
"Plautstraße","19A","Connewitz"
"Plautstraße","19B","Connewitz"
"Plautstraße","21","Connewitz"
"Plautstraße","23","Connewitz"
"Plautstraße","25","Connewitz"
"Plautstraße","27","Connewitz"
"Plautstraße","29","Connewitz"
"Plautstraße","31","Connewitz"
"Plautstraße","31A","Connewitz"
"Plautstraße","33","Connewitz"
"Plautstraße","35","Connewitz"
"Plautstraße","37","Connewitz"
"Plautstraße","37A","Connewitz"
"Plautstraße","39","Connewitz"
"Plautstraße","39A","Connewitz"
"Plautstraße","41","Connewitz"
"Plautstraße","56","Connewitz"
"Plautstraße","78","Connewitz"
"Plautstraße","80","Connewitz"
"Am Schwalbennest","1","Connewitz"
"Am Schwalbennest","10","Connewitz"
"Am Schwalbennest","11","Connewitz"
"Am Schwalbennest","12","Connewitz"
"Am Schwalbennest","13","Connewitz"
"Am Schwalbennest","14","Connewitz"
"Am Schwalbennest","15","Connewitz"
"Am Schwalbennest","16","Connewitz"
"Am Schwalbennest","17","Connewitz"
"Am Schwalbennest","18","Connewitz"
"Am Schwalbennest","19","Connewitz"
"Am Schwalbennest","20","Connewitz"
"Am Schwalbennest","21","Connewitz"
"Am Schwalbennest","22","Connewitz"
"Am Schwalbennest","23","Connewitz"
"Am Schwalbennest","24","Connewitz"
"Am Schwalbennest","25","Connewitz"
"Am Schwalbennest","26","Connewitz"
"Am Schwalbennest","27","Connewitz"
"Am Schwalbennest","28","Connewitz"
"Am Schwalbennest","29","Connewitz"
"Am Schwalbennest","3","Connewitz"
"Am Schwalbennest","30","Connewitz"
"Am Schwalbennest","31","Connewitz"
"Am Schwalbennest","32","Connewitz"
"Am Schwalbennest","33","Connewitz"
"Am Schwalbennest","34","Connewitz"
"Am Schwalbennest","36","Connewitz"
"Am Schwalbennest","38","Connewitz"
"Am Schwalbennest","40","Connewitz"
"Am Schwalbennest","42","Connewitz"
"Am Schwalbennest","5","Connewitz"
"Am Schwalbennest","6","Connewitz"
"Am Schwalbennest","7","Connewitz"
"Am Schwalbennest","8","Connewitz"
"Am Schwalbennest","9","Connewitz"
"Garskestraße","23","Connewitz"
"Horburger Straße","101","Connewitz"
"Horburger Straße","103","Connewitz"
"Horburger Straße","105","Connewitz"
"Horburger Straße","59D","Connewitz"
"Kiewer Straße","28","Connewitz"
"Kiewer Straße","30","Connewitz"
"Kursdorfer Weg","10","Connewitz"
"Kursdorfer Weg","12","Connewitz"
"Kursdorfer Weg","14","Connewitz"
"Kursdorfer Weg","16","Connewitz"
"Kursdorfer Weg","18","Connewitz"
"Kursdorfer Weg","2","Connewitz"
"Kursdorfer Weg","20","Connewitz"
"Kursdorfer Weg","22","Connewitz"
"Kursdorfer Weg","24","Connewitz"
"Kursdorfer Weg","26","Connewitz"
"Kursdorfer Weg","4","Connewitz"
"Kursdorfer Weg","6","Connewitz"
"Kursdorfer Weg","8","Connewitz"
"Lauschaer Weg","3","Connewitz"
"Meininger Ring","1","Connewitz"
"Meininger Ring","11","Connewitz"
"Meininger Ring","13","Connewitz"
"Meininger Ring","15","Connewitz"
"Meininger Ring","17","Connewitz"
"Meininger Ring","19","Connewitz"
"Meininger Ring","2","Connewitz"
"Meininger Ring","21","Connewitz"
"Meininger Ring","23","Connewitz"
"Meininger Ring","25","Connewitz"
"Meininger Ring","27","Connewitz"
"Meininger Ring","29","Connewitz"
"Meininger Ring","3","Connewitz"
"Meininger Ring","31","Connewitz"
"Meininger Ring","33","Connewitz"
"Meininger Ring","35","Connewitz"
"Meininger Ring","37","Connewitz"
"Meininger Ring","39","Connewitz"
"Meininger Ring","41","Connewitz"
"Meininger Ring","5","Connewitz"
"Meininger Ring","7","Connewitz"
"Meininger Ring","9","Connewitz"
"Schönauer Ring","71","Connewitz"
"Schönauer Ring","73","Connewitz"
"Schönauer Ring","75","Connewitz"
"Schönauer Ring","77","Connewitz"
"Schönauer Ring","79","Connewitz"
"Schönauer Ring","81","Connewitz"
"Schönauer Ring","83","Connewitz"
"Schönauer Ring","85","Connewitz"
"Schönauer Ring","9","Connewitz"
"Schönauer Straße","235","Connewitz"
"Schönauer Straße","240","Connewitz"
"Schönauer Straße","245","Connewitz"
"Trusetaler Weg","1","Connewitz"
"Trusetaler Weg","10","Connewitz"
"Trusetaler Weg","12","Connewitz"
"Trusetaler Weg","2","Connewitz"
"Trusetaler Weg","3","Connewitz"
"Trusetaler Weg","4","Connewitz"
"Trusetaler Weg","5","Connewitz"
"Trusetaler Weg","6","Connewitz"
"Trusetaler Weg","7","Connewitz"
"Trusetaler Weg","8","Connewitz"
"Trusetaler Weg","9","Connewitz"
"Wasunger Straße","23","Connewitz"
"Wasunger Straße","24","Connewitz"
"Wasunger Straße","25","Connewitz"
"Wasunger Straße","3","Connewitz"
"Wasunger Straße","5","Connewitz"
"Wasunger Straße","7","Connewitz"
"Wasunger Straße","9","Connewitz"
"Alte Salzstraße","191","Dölitz-Dösen"
"Alte Salzstraße","298","Dölitz-Dösen"
"Alte Salzstraße","300","Dölitz-Dösen"
"Alte Salzstraße","304","Dölitz-Dösen"
"Alte Salzstraße","333","Dölitz-Dösen"
"Alte Salzstraße","335","Dölitz-Dösen"
"Alte Salzstraße","337","Dölitz-Dösen"
"Alte Salzstraße","339","Dölitz-Dösen"
"Alte Salzstraße","341","Dölitz-Dösen"
"Alte Salzstraße","353","Dölitz-Dösen"
"Ansbacher Straße","11","Dölitz-Dösen"
"Ansbacher Straße","12","Dölitz-Dösen"
"Ansbacher Straße","13","Dölitz-Dösen"
"Ansbacher Straße","14","Dölitz-Dösen"
"Ansbacher Straße","14A","Dölitz-Dösen"
"Ansbacher Straße","14B","Dölitz-Dösen"
"Ansbacher Straße","15","Dölitz-Dösen"
"Ansbacher Straße","16","Dölitz-Dösen"
"Ansbacher Straße","17","Dölitz-Dösen"
"Ansbacher Straße","18","Dölitz-Dösen"
"Ansbacher Straße","18A","Dölitz-Dösen"
"Ansbacher Straße","19","Dölitz-Dösen"
"Ansbacher Straße","19A","Dölitz-Dösen"
"Ansbacher Straße","1A","Dölitz-Dösen"
"Ansbacher Straße","2","Dölitz-Dösen"
"Ansbacher Straße","20","Dölitz-Dösen"
"Ansbacher Straße","20A","Dölitz-Dösen"
"Ansbacher Straße","22","Dölitz-Dösen"
"Ansbacher Straße","23","Dölitz-Dösen"
"Ansbacher Straße","24","Dölitz-Dösen"
"Ansbacher Straße","25","Dölitz-Dösen"
"Ansbacher Straße","27","Dölitz-Dösen"
"Ansbacher Straße","29","Dölitz-Dösen"
"Ansbacher Straße","2A","Dölitz-Dösen"
"Ansbacher Straße","3","Dölitz-Dösen"
"Ansbacher Straße","31","Dölitz-Dösen"
"Ansbacher Straße","33","Dölitz-Dösen"
"Ansbacher Straße","3A","Dölitz-Dösen"
"Ansbacher Straße","3B","Dölitz-Dösen"
"Ansbacher Straße","4","Dölitz-Dösen"
"Ansbacher Straße","4A","Dölitz-Dösen"
"Ansbacher Straße","5","Dölitz-Dösen"
"Ansbacher Straße","5A","Dölitz-Dösen"
"Ansbacher Straße","6","Dölitz-Dösen"
"Ansbacher Straße","7","Dölitz-Dösen"
"Ansbacher Straße","8","Dölitz-Dösen"
"Ansbacher Straße","9","Dölitz-Dösen"
"Aschaffenburger Straße","1","Dölitz-Dösen"
"Aschaffenburger Straße","10","Dölitz-Dösen"
"Aschaffenburger Straße","10A","Dölitz-Dösen"
"Aschaffenburger Straße","11","Dölitz-Dösen"
"Aschaffenburger Straße","12","Dölitz-Dösen"
"Aschaffenburger Straße","13","Dölitz-Dösen"
"Aschaffenburger Straße","15","Dölitz-Dösen"
"Aschaffenburger Straße","16","Dölitz-Dösen"
"Aschaffenburger Straße","17","Dölitz-Dösen"
"Aschaffenburger Straße","18","Dölitz-Dösen"
"Aschaffenburger Straße","19","Dölitz-Dösen"
"Aschaffenburger Straße","19A","Dölitz-Dösen"
"Aschaffenburger Straße","1A","Dölitz-Dösen"
"Aschaffenburger Straße","2","Dölitz-Dösen"
"Aschaffenburger Straße","20","Dölitz-Dösen"
"Aschaffenburger Straße","22","Dölitz-Dösen"
"Aschaffenburger Straße","24","Dölitz-Dösen"
"Aschaffenburger Straße","24A","Dölitz-Dösen"
"Aschaffenburger Straße","2A","Dölitz-Dösen"
"Aschaffenburger Straße","2B","Dölitz-Dösen"
"Aschaffenburger Straße","2C","Dölitz-Dösen"
